ID;Score;Nom;Pop 2012;Densite 2012;Superficie;Longitude [deg];Latitude [deg];Altitude [m]
1;61.24;Paris;2211000;20977.23;105.4;2.34445;48.86;35
2;57.09;Marseille;851400;3538.36;240.62;5.37639;43.2967;320
3;54.59;Lyon;474900;9920.62;47.87;4.84139;45.7589;237
4;54.23;Toulouse;439600;3715.98;118.3;1.43333;43.6;189
5;53.18;Nice;344900;4795.61;71.92;7.25;43.7;260
6;52.33;Nantes;283300;4345.76;65.19;-1.55;47.2167;27
7;52.15;Strasbourg;272100;3476.87;78.26;7.75;48.5833;142
8;51.84;Montpellier;253000;4447.96;56.88;3.88333;43.6;64
9;51.55;Bordeaux;235900;4779.17;49.36;-0.56667;44.8333;22
10;51.37;Lille;225800;6482.92;34.83;3.06667;50.6333;31
11;50.97;Rennes;206700;4102;50.39;-1.68333;48.0833;47
12;50.41;Reims;181500;3869.94;46.9;4.03333;49.25;106
13;50.34;Le Havre;178800;3808.31;46.95;0.13333;49.5;53
14;50.18;Saint-Etienne;172700;2159.56;79.97;4.4;45.4333;770
15;50.04;Toulon;166700;3891.22;42.84;5.93333;43.1167;295
16;49.83;Grenoble;156700;8643.13;18.13;5.71667;45.1667;402
17;49.63;Dijon;151600;3751.55;40.41;5.01667;47.3167;315
18;49.54;Angers;148400;3475.41;42.7;-0.55;47.4667;38
19;49.4;Villeurbanne;141100;9717.63;14.52;4.88333;45.7667;177
20;49.38;Le Mans;143500;2717.29;52.81;0.2;48;86
21;49.34;Brest;142100;2870.13;49.51;-4.48333;48.4;52
22;49.34;Aix-en-Provence;142700;766.87;186.08;5.43333;43.5333;287
23;49.27;Limoges;140100;1795.46;78.03;1.25;45.85;320
24;49.26;Nimes;140300;866.85;161.85;4.35;43.8333;118
25;49.25;Clermont-Ferrand;139000;3257.56;42.67;3.08333;45.7833;462
26;49.15;Tours;135500;3908.28;34.67;0.68333;47.3833;77
27;49.1;Amiens;134400;2717.35;49.46;2.3;49.9;60
28;48.72;Metz;122800;2927.99;41.94;6.16667;49.1333;209
29;48.57;Boulogne-Billancourt;112200;18184.76;6.17;2.25;48.8333;34
30;48.51;Besancon;117600;1807.84;65.05;6.03333;47.25;423
31;48.48;Perpignan;116700;1714.41;68.07;2.88333;42.6833;52
32;48.39;Orleans;113300;4123;27.48;1.9;47.9167;107
33;48.35;Mulhouse;111900;5045.09;22.18;7.33333;47.75;284
34;48.26;Caen;109900;4276.26;25.7;-0.35;49.1833;38
35;48.26;Rouen;109400;5116.93;21.38;1.08333;49.4333;77
36;48.17;Nancy;106400;7088.61;15.01;6.2;48.6833;271
37;48.08;Saint-Denis;103700;8389.97;12.36;2.35833;48.9333;35
38;48.07;Montreuil;102200;11457.4;8.92;2.43333;48.8667;85
39;48.03;Argenteuil;103300;5998.84;17.22;2.25;48.95;95
40;47.73;Roubaix;95900;7248.68;13.23;3.16667;50.7;35
41;47.57;Tourcoing;92600;6096.12;15.19;3.15;50.7167;37
42;47.54;Dunkerque;93600;2132.6;43.89;2.36667;51.05;9
43;47.49;Courbevoie;85100;20407.67;4.17;2.25222;48.8973;41
44;47.45;Nanterre;89600;7350.29;12.19;2.2;48.9;75
45;47.45;Creteil;89300;7792.32;11.46;2.46667;48.7833;53
46;47.36;Avignon;90100;1388.08;64.91;4.81667;43.95;66
47;47.33;Poitiers;89300;2120.64;42.11;0.33333;46.5833;105
48;47.26;Asnieres-sur-Seine;81700;16950.21;4.82;2.28556;48.9112;33
49;47.23;Colombes;83700;10717.03;7.81;2.25;48.9167;34
50;47.23;Versailles;86700;3311.69;26.18;2.13333;48.8;142
51;47.18;Vitry-sur-Seine;84100;7206.51;11.67;2.4;48.7833;67
52;47.08;Pau;84000;2665.82;31.51;-0.36667;43.3;205
53;47.04;Aulnay-sous-Bois;82200;5074.07;16.2;2.51667;48.95;59
54;46.83;Rueil-Malmaison;78100;5312.93;14.7;2.2;48.8833;94
55;46.81;Aubervilliers;74500;12934.03;5.76;2.38333;48.9167;40
56;46.73;Saint-Maur-des-Fosses;75700;6728.89;11.25;2.5;48.8;43
57;46.71;Antibes;77000;2907.85;26.48;7.11667;43.5833;82
58;46.7;Champigny-sur-Marne;75100;6646.02;11.3;2.51667;48.8167;69
59;46.64;La Rochelle;75800;2666.2;28.43;-1.15;46.1667;14
60;46.57;Calais;74800;2232.84;33.5;1.83333;50.95;9
61;46.5;Cannes;72900;3715.6;19.62;7.01667;43.55;130
62;46.47;Levallois-Perret;63000;26141.08;2.41;2.28333;48.9;29
63;46.36;Beziers;71700;750.94;95.48;3.25;43.35;62
64;46.22;Drancy;66200;8530.93;7.76;2.45;48.9333;45
65;46.2;Issy-les-Moulineaux;63300;14894.12;4.25;2.26667;48.8167;62
66;46.2;Bourges;69000;1003.78;68.74;2.4;47.0833;145
67;46.08;Saint-Nazaire;66900;1429.79;46.79;-2.2;47.2833;24
68;46.06;Colmar;66900;1004.96;66.57;7.36667;48.0833;195
69;46.04;Neuilly-sur-Seine;60300;16166.22;3.73;2.26667;48.8833;33
70;46.02;Merignac;66100;1372.22;48.17;-0.63333;44.8333;33
71;46;Clichy;58400;18961.04;3.08;2.3;48.9;29
72;45.95;Ajaccio;65200;794.83;82.03;8.7364;41.9256;394
73;45.93;Valence;64500;1757.97;36.69;4.9;44.9333;149
74;45.92;Noisy-le-Grand;63100;4872.59;12.95;2.56667;48.85;75
75;45.86;Quimper;63900;756.66;84.45;-4.1;48;73
76;45.83;Antony;61200;6401.67;9.56;2.3;48.75;74
77;45.82;Villeneuve-d'Ascq;62700;2283.32;27.46;3.14167;50.6833;33
78;45.81;Troyes;61500;4659.09;13.2;4.08333;48.3;113
79;45.71;Sarcelles;59200;7005.92;8.45;2.38333;49;94
80;45.64;La Seyne-sur-Mer;60000;2706.36;22.17;5.88333;43.1;176
81;45.6;Ivry-sur-Seine;56700;9295.08;6.1;2.38333;48.8167;48
82;45.53;Lorient;58100;3323.8;17.48;-3.36667;47.75;23
83;45.5;Venissieux;57600;3757.34;15.33;4.88333;45.6833;200
84;45.46;Vincennes;48100;25183.25;1.91;2.43333;48.85;58
85;45.45;Niort;58100;851.91;68.2;-0.46667;46.3167;40
86;45.43;Pessac;57600;1483.77;38.82;-0.61667;44.8;34
87;45.42;Cergy;56100;4815.45;11.65;2.06667;49.0333;71
88;45.41;Chambery;56800;2706.05;20.99;5.93333;45.5667;403
89;45.4;Saint-Quentin;56800;2517.73;22.56;3.28333;49.85;97
90;45.38;Epinay-sur-Seine;52700;11531.73;4.57;2.30833;48.95;41
91;45.37;Bondy;53300;9744.06;5.47;2.46667;48.9;55
92;45.37;Villejuif;53200;9962.55;5.34;2.36667;48.8;96
93;45.35;Pantin;52700;10518.96;5.01;2.4;48.9;73
94;45.34;Maisons-Alfort;52900;9887.85;5.35;2.43333;48.8;38
95;45.32;Fontenay-sous-Bois;52800;9462.37;5.58;2.48333;48.85;78
96;45.28;Montauban;56000;414.29;135.17;1.35;44.0167;140
97;45.27;Montrouge;46700;22560.39;2.07;2.31667;48.8167;76
98;45.24;Beauvais;55000;1651.16;33.31;2.08333;49.4333;114
99;45.21;Hyeres;55100;416.23;132.38;6.11667;43.1167;182
100;45.2;Evry;52500;6302.52;8.33;2.45;48.6333;64
